activation,n_layers,n_units,n_params,best_epoch,rmse_val_log,r2_val_log
relu,1,32,833,27,0.9583012153937829,0.5936095714569092
relu,1,64,1665,29,0.96749476665491,0.5857746601104736
relu,1,128,3329,30,0.9514679496907859,0.5993844866752625
relu,1,256,6657,16,0.9541563176478122,0.5971174240112305
relu,2,32,1889,29,0.9457344500629435,0.6041980981826782
relu,2,64,5825,30,0.9397601222807055,0.6091829538345337
relu,2,128,19841,15,0.943547137354004,0.606026828289032
relu,2,256,72449,16,0.945116227636857,0.6047154068946838
relu,3,32,2945,29,0.9432453852747126,0.6062787771224976
relu,3,64,9985,26,0.9404825134334972,0.6085819005966187
relu,3,128,36353,15,0.9440587138832741,0.6055995225906372
relu,3,256,138241,5,0.9594244481368709,0.5926563143730164
tanh,1,32,833,30,0.958542887263995,0.5934045314788818
tanh,1,64,1665,19,0.9591319481448728,0.5929046869277954
tanh,1,128,3329,30,0.9489925413250626,0.6014662981033325
tanh,1,256,6657,28,0.9467483523938489,0.603348970413208
tanh,2,32,1889,29,0.9448036211316665,0.6049768924713135
tanh,2,64,5825,30,0.9410578926066364,0.6081028580665588
tanh,2,128,19841,14,0.9427670658987646,0.6066780090332031
tanh,2,256,72449,12,0.941484471787136,0.607747495174408
tanh,3,32,2945,29,0.9457914226898085,0.6041504144668579
tanh,3,64,9985,27,0.9402961992731619,0.6087369918823242
tanh,3,128,36353,19,0.9402282752681925,0.6087934970855713
tanh,3,256,138241,5,0.9445184888206422,0.6052152514457703
