activation,n_layers,n_units,n_params,best_epoch,rmse_log,r2_log
relu,1,32,545,35,1.0720837826263954,0.4932577610015869
relu,1,64,1089,38,1.0706330536351818,0.49462825059890747
relu,1,128,2177,30,1.0690564212665281,0.49611562490463257
relu,1,256,4353,12,1.0703424045812344,0.4949026107788086
relu,2,32,1601,39,1.0653106315240564,0.49964046478271484
relu,2,64,5249,16,1.0668931345635881,0.49815285205841064
relu,2,128,18689,9,1.0683477146551466,0.4967834949493408
relu,2,256,70145,7,1.070890228946888,0.49438542127609253
relu,3,32,2657,17,1.0686028183988616,0.49654310941696167
relu,3,64,9409,25,1.0660517176594817,0.49894410371780396
relu,3,128,35201,8,1.0673382497630959,0.4977339506149292
relu,3,256,135937,13,1.0651375066611417,0.4998030662536621
tanh,1,32,545,27,1.082053008704257,0.4837896227836609
tanh,1,64,1089,35,1.0771965783879007,0.48841285705566406
tanh,1,128,2177,30,1.0748821083008593,0.49060893058776855
tanh,1,256,4353,18,1.0750533866932948,0.4904465675354004
tanh,2,32,1601,40,1.070319795235602,0.4949239492416382
tanh,2,64,5249,26,1.0681380298906797,0.4969809651374817
tanh,2,128,18689,17,1.0686172090541564,0.49652957916259766
tanh,2,256,70145,9,1.0676283209369097,0.4974609613418579
tanh,3,32,2657,29,1.0694650789777538,0.49573028087615967
tanh,3,64,9409,22,1.0679318760029322,0.4971751570701599
tanh,3,128,35201,9,1.069166140379049,0.4960121512413025
tanh,3,256,135937,8,1.0697055961555937,0.4955034852027893
